Journal Name,ISSN,2021 JIF,eISSN,Category
South African Geographical Journal,0373-6245,1.662,2151-2418,GEOGRAPHY - SSCI(Q4)
Romanian Journal of Physics,1221-146X,1.662,1221-146X,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q3)"
ACI MATERIALS JOURNAL,0889-325X,1.661,1944-737X,"CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
ISRAEL MEDICAL ASSOCIATION JOURNAL,1565-1088,1.66,1565-1088,"MEDICINE, GENERAL & INTERNAL - SCIE(Q3)"
Periodica Polytechnica-Civil Engineering,0553-6626,1.659,N/A,"ENGINEERING, CIVIL - SCIE(Q4)"
Human-Wildlife Interactions,1934-4392,1.657,1936-8046,BIODIVERSITY CONSERVATION - SCIE(Q3); ECOLOGY - SCIE(Q4)
CANADIAN JOURNAL OF CRIMINOLOGY AND CRIMINAL JUSTICE,1707-7753,1.657,1911-0219,CRIMINOLOGY & PENOLOGY - SSCI(Q3)
AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS,1035-7718,1.656,1465-332X,INTERNATIONAL RELATIONS - SSCI(Q3)
CHIMIA,0009-4293,1.656,0009-4293,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q4)"
Linguistics and Education,0898-5898,1.656,1873-1864,LANGUAGE & LINGUISTICS - AHCI(N/A); LINGUISTICS - SSCI(Q2); EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4)
Early Childhood Education Journal,1082-3301,1.656,1573-1707,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4)
JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS,0953-4075,1.655,1361-6455,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE(Q3); OPTICS - SCIE(Q4)"
FINITE FIELDS AND THEIR APPLICATIONS,1071-5797,1.655,1090-2465,"MATHEMATICS - SCIE(Q1); MATHEMATICS, APPLIED - SCIE(Q2)"
International Journal of Conflict and Violence,1864-1385,1.654,1864-1385,POLITICAL SCIENCE - SSCI(Q3); INTERNATIONAL RELATIONS - SSCI(Q3)
CANADIAN JOURNAL OF ZOOLOGY,0008-4301,1.654,1480-3283,ZOOLOGY - SCIE(Q2)
BIOLOGIA,0006-3088,1.653,1336-9563,BIOLOGY - SCIE(Q3)
FLUCTUATION AND NOISE LETTERS,0219-4775,1.652,1793-6780,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q3); PHYSICS, APPLIED - SCIE(Q4)"
Chinese Physics B,1674-1056,1.652,2058-3834,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q3)"
EXPERIMENTAL AGING RESEARCH,0361-073X,1.652,1096-4657,PSYCHOLOGY - SCIE(Q4); GERIATRICS & GERONTOLOGY - SCIE(Q4)
Revista Portuguesa de Cardiologia,0870-2551,1.651,0304-4750,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q4)
Lithic Technology,0197-7261,1.651,2051-6185,ARCHAEOLOGY - AHCI(N/A); ANTHROPOLOGY - SSCI(Q2)
LICHENOLOGIST,0024-2829,1.651,1096-1135,PLANT SCIENCES - SCIE(Q3); MYCOLOGY - SCIE(Q4)
NEOTROPICAL ENTOMOLOGY,1519-566X,1.65,1678-8052,ENTOMOLOGY - SCIE(Q2)
Journal of Environmental Science and Health Part C-Toxicology and Carcinogenesis,2689-6583,1.65,2689-6591,ENVIRONMENTAL SCIENCES - SCIE(Q4); TOXICOLOGY - SCIE(Q4); ONCOLOGY - SCIE(Q4)
Food Culture & Society,1552-8014,1.649,1751-7443,SOCIOLOGY - SSCI(Q3)
PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,0024-6115,1.649,1460-244X,MATHEMATICS - SCIE(Q1)
ISSUES IN SCIENCE AND TECHNOLOGY,0748-5492,1.649,1938-1557,"MULTIDISCIPLINARY SCIENCES - SCIE(Q3); ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3); SOCIAL ISSUES - SSCI(Q3); ENGINEERING, INDUSTRIAL - SCIE(Q4)"
MEASUREMENT & CONTROL,0020-2940,1.648,2051-8730,INSTRUMENTS & INSTRUMENTATION - SCIE(Q3); AUTOMATION & CONTROL SYSTEMS - SCIE(Q4)
BIOMEDICAL PAPERS-OLOMOUC,1213-8118,1.648,1804-7521,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q4)"
HISTORICAL METHODS,0161-5440,1.647,1940-1906,HISTORY - AHCI(N/A); HISTORY - SSCI(Q1)
Discourse & Communication,1750-4813,1.647,1750-4821,COMMUNICATION - SSCI(Q4)
Zoosystematics and Evolution,1860-0743,1.647,1860-0743,ZOOLOGY - SCIE(Q2)
LIPIDS,0024-4201,1.646,1558-9307,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4); NUTRITION & DIETETICS - SCIE(Q4)
International Journal of Ophthalmology,2222-3959,1.645,2227-4898,OPHTHALMOLOGY - SCIE(Q4)
INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,0306-624X,1.645,1552-6933,"CRIMINOLOGY & PENOLOGY - SSCI(Q3); PSYCHOLOGY, APPLIED - SSCI(Q4)"
COMBUSTION THEORY AND MODELLING,1364-7830,1.644,1741-3559,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q3); ENERGY & FUELS - SCIE(Q4); THERMODYNAMICS - SCIE(Q4); ENGINEERING, CHEMICAL - SCIE(Q4)"
PLANT SYSTEMATICS AND EVOLUTION,0378-2697,1.644,1615-6110,PLANT SCIENCES - SCIE(Q3); EVOLUTIONARY BIOLOGY - SCIE(Q4)
Quantitative InfraRed Thermography Journal,1768-6733,1.643,2116-7176,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING - SCIE(Q3); INSTRUMENTS & INSTRUMENTATION - SCIE(Q3); PHYSICS, APPLIED - SCIE(Q4)"
CANADIAN JOURNAL OF EARTH SCIENCES,0008-4077,1.643,1480-3313,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q4)"
Research in Gerontological Nursing,1940-4921,1.643,1938-2464,NURSING - SCIE(Q3); NURSING - SSCI(Q3)
STEREOTACTIC AND FUNCTIONAL NEUROSURGERY,1011-6125,1.643,1423-0372,SURGERY - SCIE(Q3); NEUROIMAGING - SCIE(Q4); NEUROSCIENCES - SCIE(Q4)
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,1533-7731,1.643,1533-7731,"PSYCHOLOGY, CLINICAL - SSCI(Q4)"
JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,0887-8722,1.642,1533-6808,"ENGINEERING, MECHANICAL - SCIE(Q4); THERMODYNAMICS - SCIE(Q4)"
MICROGRAVITY SCIENCE AND TECHNOLOGY,0938-0108,1.642,1875-0494,"ENGINEERING, AEROSPACE - SCIE(Q3); MECHANICS - SCIE(Q4); THERMODYNAMICS - SCIE(Q4)"
Critical Discourse Studies,1740-5904,1.642,1740-5912,COMMUNICATION - SSCI(Q4)
SEMINARS IN ULTRASOUND CT AND MRI,0887-2171,1.641,1558-5034,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q4)"
Microbial Risk Analysis,2352-3522,1.641,2352-3530,ENVIRONMENTAL SCIENCES - SCIE(Q4); MICROBIOLOGY - SCIE(Q4); FOOD SCIENCE & TECHNOLOGY - SCIE(Q4)
Higher Education Policy,0952-8733,1.64,1740-3863,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4)
JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,0022-0434,1.64,1528-9028,INSTRUMENTS & INSTRUMENTATION - SCIE(Q3); AUTOMATION & CONTROL SYSTEMS - SCIE(Q4)
Current Computer-Aided Drug Design,1573-4099,1.639,1875-6697,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4); CHEMISTRY, MEDICINAL - SCIE(Q4)"
Chronic Illness,1742-3953,1.639,1745-9206,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4); MEDICINE, GENERAL & INTERNAL - SCIE(Q4); HEALTH CARE SCIENCES & SERVICES - SCIE(Q4)"
Topics in Organometallic Chemistry,1436-6002,1.638,1616-8534,"CHEMISTRY, ORGANIC - SCIE(Q3); CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q4)"
International Journal of Communication,1932-8036,1.637,1932-8036,COMMUNICATION - SSCI(Q4)
International Journal of Chemical Reactor Engineering,2194-5748,1.636,1542-6580,"ENGINEERING, CHEMICAL - SCIE(Q4)"
SOCIAL COGNITION,0278-016X,1.636,N/A,"PSYCHOLOGY, SOCIAL - SSCI(Q4)"
American Journal of Audiology,1059-0889,1.636,1558-9137,OTORHINOLARYNGOLOGY - SCIE(Q4); AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE(Q4)
Avian Conservation and Ecology,1712-6568,1.635,N/A,ORNITHOLOGY - SCIE(Q2); BIODIVERSITY CONSERVATION - SCIE(Q3)
Central European Journal of Immunology,1426-3912,1.634,1644-4124,IMMUNOLOGY - SCIE(Q4)
INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,1076-9307,1.634,1099-1158,"BUSINESS, FINANCE - SSCI(Q4)"
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,0160-8061,1.634,1540-8604,"MANAGEMENT - SSCI(Q4); PSYCHOLOGY, APPLIED - SSCI(Q4)"
JOURNAL OF FRESHWATER ECOLOGY,0270-5060,1.634,2156-6941,LIMNOLOGY - SCIE(Q4); ECOLOGY - SCIE(Q4)
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,0890-0604,1.634,1469-1760,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3); ENGINEERING, MANUFACTURING - SCIE(Q4); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q4)"
JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE,1088-8705,1.633,1532-7604,VETERINARY SCIENCES - SCIE(Q2)
GENETICA,0016-6707,1.633,1573-6857,GENETICS & HEREDITY - SCIE(Q4)
ARCTIC,0004-0843,1.633,1923-1245,"GEOGRAPHY, PHYSICAL - SCIE(Q4); ENVIRONMENTAL SCIENCES - SCIE(Q4)"
AQUATIC MAMMALS,0167-5427,1.633,N/A,ZOOLOGY - SCIE(Q2); MARINE & FRESHWATER BIOLOGY - SCIE(Q3)
Italian Journal of Agronomy,1125-4718,1.632,2039-6805,AGRONOMY - SCIE(Q3)
OTJR-OCCUPATION PARTICIPATION AND HEALTH,1539-4492,1.632,1938-2383,REHABILITATION - SSCI(Q3)
Psicologia Educativa,1135-755X,1.632,2174-0526,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q3); EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4); PSYCHOLOGY, EDUCATIONAL - SSCI(Q4)"
INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,0391-3988,1.631,1724-6040,"TRANSPLANTATION - SCIE(Q3); ENGINEERING, BIOMEDICAL - SCIE(Q4)"
JOURNAL OF MOLLUSCAN STUDIES,0260-1230,1.631,1464-3766,ZOOLOGY - SCIE(Q2); MARINE & FRESHWATER BIOLOGY - SCIE(Q3)
Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie,0008-4174,1.63,1911-9828,REHABILITATION - SSCI(Q3); REHABILITATION - SCIE(Q4)
Journal of Oral Science,1343-4934,1.63,1880-4926,"MATERIALS SCIENCE, BIOMATERIALS - SCIE(Q4); DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q4)"
ELECTRICAL ENGINEERING,0948-7921,1.63,1432-0487,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3)"
Middle East Critique,1943-6149,1.63,1943-6157,AREA STUDIES - SSCI(Q2)
STUDIES IN PHILOSOPHY AND EDUCATION,0039-3746,1.629,1573-191X,PHILOSOPHY - AHCI(N/A); EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4)
ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1.629,1557-4644,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q4)"
SCHMERZ,0932-433X,1.629,1432-2129,CLINICAL NEUROLOGY - SCIE(Q4); ANESTHESIOLOGY - SCIE(Q4)
RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,1540-7969,1.628,2169-2408,"EDUCATION, SPECIAL - SSCI(Q3); REHABILITATION - SSCI(Q3)"
Journal of Oleo Science,1345-8957,1.628,1347-3352,"CHEMISTRY, APPLIED - SCIE(Q3); FOOD SCIENCE & TECHNOLOGY - SCIE(Q4)"
JOURNAL OF PALEONTOLOGY,0022-3360,1.628,1937-2337,PALEONTOLOGY - SCIE(Q3)
Videosurgery and Other Miniinvasive Techniques,1895-4588,1.627,2299-0054,SURGERY - SCIE(Q4)
JOURNAL OF MATHEMATICAL IMAGING AND VISION,0924-9907,1.627,1573-7683,"MATHEMATICS, APPLIED - SCIE(Q2); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q4)"
International Agrophysics,0236-8722,1.627,2300-8725,AGRONOMY - SCIE(Q3)
JOURNAL OF NEUROSCIENCE NURSING,0888-0395,1.627,1945-2810,NURSING - SCIE(Q3); NURSING - SSCI(Q3); CLINICAL NEUROLOGY - SCIE(Q4)
JOURNAL OF WILDLIFE DISEASES,0090-3558,1.626,1943-3700,VETERINARY SCIENCES - SCIE(Q2)
INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY,0165-5876,1.626,1872-8464,OTORHINOLARYNGOLOGY - SCIE(Q4); PEDIATRICS - SCIE(Q4)
JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME,0094-4289,1.626,1528-8889,"ENGINEERING, MECHANICAL - SCIE(Q4); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
Journal of Personnel Psychology,1866-5888,1.625,2190-5150,"PSYCHOLOGY, APPLIED - SSCI(Q4)"
Social Epistemology,0269-1728,1.625,1464-5297,"HISTORY & PHILOSOPHY OF SCIENCE - AHCI(N/A); PHILOSOPHY - AHCI(N/A); HISTORY & PHILOSOPHY OF SCIENCE - SSCI(Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q3)"
Tree-Ring Research,1536-1098,1.625,2162-4585,FORESTRY - SCIE(Q3)
EUROPEAN PHYSICAL JOURNAL E,1292-8941,1.624,1292-895X,"PHYSICS, APPLIED - SCIE(Q4); CHEMISTRY, PHYSICAL - SCIE(Q4); POLYMER SCIENCE - SCIE(Q4); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
EUROPEAN HEART JOURNAL SUPPLEMENTS,1520-765X,1.624,1554-2815,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q4)
JOURNAL OF POLYMER ENGINEERING,0334-6447,1.624,2191-0340,POLYMER SCIENCE - SCIE(Q4)
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART I-JOURNAL OF SYSTEMS AND CONTROL ENGINEERING,0959-6518,1.623,2041-3041,AUTOMATION & CONTROL SYSTEMS - SCIE(Q4)
LIBRARY HI TECH,0737-8831,1.623,0737-8831,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q3)
INTERACTING WITH COMPUTERS,0953-5438,1.623,1873-7951,"ERGONOMICS - SSCI(Q4); COMPUTER SCIENCE, CYBERNETICS - SCIE(Q4)"
ETRI JOURNAL,1225-6463,1.622,2233-7326,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); TELECOMMUNICATIONS - SCIE(Q4)"
SILVA FENNICA,0037-5330,1.622,2242-4075,FORESTRY - SCIE(Q3)
COMPTES RENDUS PHYSIQUE,1631-0705,1.622,1878-1535,"ASTRONOMY & ASTROPHYSICS - SCIE(Q3); PHYSICS, MULTIDISCIPLINARY - SCIE(Q3)"
JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,0022-0930,1.621,1608-3202,PHYSIOLOGY - SCIE(Q4); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4); EVOLUTIONARY BIOLOGY - SCIE(Q4)
Emergency Medicine International,2090-2840,1.621,2090-2859,EMERGENCY MEDICINE - SCIE(Q3)
RELC Journal,0033-6882,1.62,1745-526X,LINGUISTICS - SSCI(Q2)
JOURNAL OF ECONOMIC DYNAMICS & CONTROL,0165-1889,1.62,1879-1743,ECONOMICS - SSCI(Q3)
ARCHIVES ITALIENNES DE BIOLOGIE,0003-9829,1.619,0003-9829,NEUROSCIENCES - SCIE(Q4)
SOFT MATERIALS,1539-445X,1.619,1539-4468,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL,1006-706X,1.619,2210-3988,METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q3)
JOURNAL OF LOW TEMPERATURE PHYSICS,0022-2291,1.618,1573-7357,"PHYSICS, APPLIED - SCIE(Q4); PHYSICS, CONDENSED MATTER - SCIE(Q4)"
Reading & Writing Quarterly,1057-3569,1.618,1521-0693,"EDUCATION, SPECIAL - SSCI(Q3); EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4)"
VETERINARY SURGERY,0161-3499,1.618,1532-950X,VETERINARY SCIENCES - SCIE(Q2)
NURSING CLINICS OF NORTH AMERICA,0029-6465,1.617,1558-1357,NURSING - SCIE(Q3); NURSING - SSCI(Q3)
PEDIATRICS INTERNATIONAL,1328-8067,1.617,1442-200X,PEDIATRICS - SCIE(Q4)
SHOCK AND VIBRATION,1070-9622,1.616,1875-9203,"ACOUSTICS - SCIE(Q3); MECHANICS - SCIE(Q4); ENGINEERING, MECHANICAL - SCIE(Q4)"
PROBLEMS OF POST-COMMUNISM,1075-8216,1.616,1557-783X,POLITICAL SCIENCE - SSCI(Q3)
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART A-JOURNAL OF POWER AND ENERGY,0957-6509,1.616,2041-2967,"THERMODYNAMICS - SCIE(Q4); ENGINEERING, MECHANICAL - SCIE(Q4)"
BIORHEOLOGY,0006-355X,1.615,1878-5034,"HEMATOLOGY - SCIE(Q4); BIOPHYSICS - SCIE(Q4); ENGINEERING, BIOMEDICAL - SCIE(Q4)"
Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilidad,0210-2412,1.615,2332-0753,"BUSINESS, FINANCE - SSCI(Q4)"
BioSocieties,1745-8552,1.615,1745-8560,"SOCIAL SCIENCES, BIOMEDICAL - SSCI(Q4)"
SYMBOLIC INTERACTION,0195-6086,1.615,1533-8665,SOCIOLOGY - SSCI(Q3)
ECONOMICS AND PHILOSOPHY,0266-2671,1.615,1474-0028,ETHICS - SSCI(Q2); ECONOMICS - SSCI(Q3)
FOLIA PARASITOLOGICA,0015-5683,1.614,1803-6465,PARASITOLOGY - SCIE(Q3)
MONATSHEFTE FUR CHEMIE,0026-9247,1.613,1434-4475,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q4)"
Acta Politica,0001-6810,1.613,1741-1416,POLITICAL SCIENCE - SSCI(Q3)
Applied Neuropsychology-Child,2162-2965,1.613,2162-2973,CLINICAL NEUROLOGY - SCIE(Q4); PSYCHOLOGY - SCIE(Q4)
LARYNGO-RHINO-OTOLOGIE,0935-8943,1.612,1438-8685,OTORHINOLARYNGOLOGY - SCIE(Q4)
CRIME LAW AND SOCIAL CHANGE,0925-4994,1.612,1573-0751,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q3); CRIMINOLOGY & PENOLOGY - SSCI(Q3)"
Critical Sociology,0896-9205,1.611,1569-1632,SOCIOLOGY - SSCI(Q3)
EUROPEAN PHYSICAL JOURNAL D,1434-6060,1.611,1434-6079,"OPTICS - SCIE(Q4); PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE(Q4)"
Polimeros-Ciencia e Tecnologia,0104-1428,1.611,1678-5169,POLYMER SCIENCE - SCIE(Q4)
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,1028-6020,1.61,1477-2213,"CHEMISTRY, APPLIED - SCIE(Q3); PLANT SCIENCES - SCIE(Q3); PHARMACOLOGY & PHARMACY - SCIE(Q4); CHEMISTRY, MEDICINAL - SCIE(Q4)"
JOURNAL OF ASTROPHYSICS AND ASTRONOMY,0250-6335,1.61,0973-7758,ASTRONOMY & ASTROPHYSICS - SCIE(Q3)
SPACE POLICY,0265-9646,1.609,1879-338X,"INTERNATIONAL RELATIONS - SSCI(Q3); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q3)"
Marine Biology Research,1745-1000,1.609,1745-1019,MARINE & FRESHWATER BIOLOGY - SCIE(Q3); ECOLOGY - SCIE(Q4)
CONTRIBUTIONS TO PLASMA PHYSICS,0863-1042,1.608,1521-3986,"PHYSICS, FLUIDS & PLASMAS - SCIE(Q3)"
Journal of Drugs in Dermatology,1545-9616,1.608,1545-9616,DERMATOLOGY - SCIE(Q4)
ANNALS OF VASCULAR SURGERY,0890-5096,1.607,1615-5947,PERIPHERAL VASCULAR DISEASE - SCIE(Q4); SURGERY - SCIE(Q4)
JOURNAL OF APPLIED BIOMECHANICS,1065-8483,1.606,1543-2688,"ENGINEERING, BIOMEDICAL - SCIE(Q4); SPORT SCIENCES - SCIE(Q4)"
JOURNAL OF SEISMOLOGY,1383-4649,1.606,1573-157X,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q3)
CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE,0840-8688,1.606,0840-8688,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE(Q4)"
Econometric Reviews,0747-4938,1.605,1532-4168,"STATISTICS & PROBABILITY - SCIE(Q2); MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q3); ECONOMICS - SSCI(Q3); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI(Q3)"
JOURNAL OF LAW MEDICINE & ETHICS,1073-1105,1.604,1748-720X,"LAW - SSCI(Q2); ETHICS - SSCI(Q3); MEDICAL ETHICS - SCIE(Q4); MEDICINE, LEGAL - SCIE(Q4)"
Qualitative Research in Accounting and Management,1176-6093,1.604,1758-7654,"MANAGEMENT - SSCI(Q4); BUSINESS, FINANCE - SSCI(Q4)"
Journal of Hip Preservation Surgery,2054-8397,1.604,2054-8397,ORTHOPEDICS - SCIE(Q3)
Criminology & Criminal Justice,1748-8958,1.604,1748-8966,CRIMINOLOGY & PENOLOGY - SSCI(Q3)
Electronic Research Archive,N/A,1.604,2688-1594,MATHEMATICS - SCIE(Q1)
Mathematical Modelling and Analysis,1392-6292,1.603,1648-3510,MATHEMATICS - SCIE(Q1)
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,1232-1966,1.603,1898-2263,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4); ENVIRONMENTAL SCIENCES - SCIE(Q4)"
JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION,1047-4412,1.603,1532-768X,"PSYCHOLOGY, EDUCATIONAL - SSCI(Q4)"
Zdravstveno Varstvo,0351-0026,1.603,1854-2476,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4)"
Journal of the Society for Social Work and Research,2334-2315,1.603,1948-822X,SOCIAL WORK - SSCI(Q4)
IEEE PERVASIVE COMPUTING,1536-1268,1.603,1558-2590,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); TELECOMMUNICATIONS - SCIE(Q4); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q4)"
Journal of Veterinary Science,1229-845X,1.603,1976-555X,VETERINARY SCIENCES - SCIE(Q2)
PEDIATRIC EMERGENCY CARE,0749-5161,1.602,1535-1815,EMERGENCY MEDICINE - SCIE(Q3); PEDIATRICS - SCIE(Q4)
AVIAN DISEASES,0005-2086,1.602,1938-4351,VETERINARY SCIENCES - SCIE(Q3)
European Journal for Philosophy of Science,1879-4912,1.602,1879-4920,HISTORY & PHILOSOPHY OF SCIENCE - AHCI(N/A); HISTORY & PHILOSOPHY OF SCIENCE - SCIE(Q1)
STROJNISKI VESTNIK-JOURNAL OF MECHANICAL ENGINEERING,0039-2480,1.6,N/A,"ENGINEERING, MECHANICAL - SCIE(Q4)"
MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS,0932-4194,1.6,1435-568X,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q3); AUTOMATION & CONTROL SYSTEMS - SCIE(Q4); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q4)"
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,1463-4988,1.6,1539-4077,MARINE & FRESHWATER BIOLOGY - SCIE(Q3); ENVIRONMENTAL SCIENCES - SCIE(Q4)
Language Acquisition,1048-9223,1.6,1532-7817,LANGUAGE & LINGUISTICS - AHCI(N/A); LINGUISTICS - SSCI(Q2)
HASELTONIA,1070-0048,1.6,1938-2898,PLANT SCIENCES - SCIE(Q3)
CRYSTAL RESEARCH AND TECHNOLOGY,0232-1300,1.599,1521-4079,CRYSTALLOGRAPHY - SCIE(Q3)
LETHAIA,0024-1164,1.598,1502-3931,PALEONTOLOGY - SCIE(Q3)
Psychiatria Polska,0033-2674,1.596,N/A,PSYCHIATRY - SCIE(Q4)
IET Radar Sonar and Navigation,1751-8784,1.596,1751-8792,"TELECOMMUNICATIONS - SCIE(Q4); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q4)"
SYNTHESE,0039-7857,1.595,1573-0964,HISTORY & PHILOSOPHY OF SCIENCE - AHCI(N/A); PHILOSOPHY - AHCI(N/A); HISTORY & PHILOSOPHY OF SCIENCE - SCIE(Q1); HISTORY & PHILOSOPHY OF SCIENCE - SSCI(Q2)
NORDIC PULP & PAPER RESEARCH JOURNAL,0283-2631,1.595,2000-0669,"MATERIALS SCIENCE, PAPER & WOOD - SCIE(Q3)"
Oral Health & Preventive Dentistry,1602-1622,1.595,1757-9996,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q4)"
JOURNAL OF CARDIOVASCULAR SURGERY,0021-9509,1.595,1827-191X,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q4); PERIPHERAL VASCULAR DISEASE - SCIE(Q4); SURGERY - SCIE(Q4)
Bundesgesundheitsblatt-Gesundheitsforschung-Gesundheitsschutz,1436-9990,1.595,1437-1588,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4)"
BOLLETTINO DELLA SOCIETA PALEONTOLOGICA ITALIANA,0375-7633,1.595,N/A,PALEONTOLOGY - SCIE(Q3)
